Date,Close
2022-12-27,1069.00
2022-12-28,1068.88
2022-12-29,1070.74
2022-12-30,1072.01
2022-12-31,1073.00
2023-01-01,1074.00
2023-01-02,1075.00
2023-01-03,1076.00
2023-01-04,1077.00
2023-01-05,1078.00
2023-01-06,1079.00
2023-01-07,1080.00
2023-01-08,1081.00
2023-01-09,1082.00
2023-01-10,1083.00
2023-01-11,1084.00
2023-01-12,1085.00
2023-01-13,1086.00
2023-01-14,1087.00
2023-01-15,1088.00
2023-01-16,1089.00
2023-01-17,1090.00
2023-01-18,1091.00
2023-01-19,1092.00
2023-01-20,1093.00
2023-01-21,1094.00
2023-01-22,1095.00
2023-01-23,1096.00
2023-01-24,1097.00
2023-01-25,1098.00
2023-01-26,1099.00
2023-01-27,1100.00
2023-01-28,1101.00
2023-01-29,1102.00
2023-01-30,1103.00
2023-01-31,1104.00
2023-02-01,1105.00
2023-02-02,1106.00
2023-02-03,1107.00
2023-02-04,1108.00
2023-02-05,1109.00
2023-02-06,1110.00
2023-02-07,1111.00
2023-02-08,1112.00
2023-02-09,1113.00
2023-02-10,1114.00
2023-02-11,1115.00
2023-02-12,1116.00
2023-02-13,1117.00
2023-02-14,1118.00
2023-02-15,1119.00
2023-02-16,1120.00
2023-02-17,1121.00
2023-02-18,1122.00
2023-02-19,1123.00
2023-02-20,1124.00
2023-02-21,1125.00
2023-02-22,1126.00
2023-02-23,1127.00
2023-02-24,1128.00
2023-02-25,1129.00
2023-02-26,1129.00
2023-02-27,1130.00
2023-02-28,1131.00
2023-03-01,1132.00
2023-03-02,1133.00
2023-03-03,1134.00
2023-03-04,1135.00
2023-03-05,1136.00
2023-03-06,1137.00
2023-03-07,1138.00
2023-03-08,1139.00
2023-03-09,1140.00
2023-03-10,1141.00
2023-03-11,1142.00
2023-03-12,1143.00
2023-03-13,1144.00
2023-03-14,1145.00
2023-03-15,1146.00
2023-03-16,1147.00
2023-03-17,1148.00
2023-03-18,1149.00
2023-03-19,1150.00
2023-03-20,1151.00
2023-03-21,1152.00
2023-03-22,1153.00
2023-03-23,1154.00
2023-03-24,1155.00
2023-03-25,1156.00
2023-03-26,1157.00
2023-03-27,1158.00
2023-03-28,1159.00
2023-03-29,1160.00
2023-03-30,1161.00
2023-03-31,1162.00
2023-04-01,1163.00
2023-04-02,1164.00
2023-04-03,1165.00
2023-04-04,1166.00
2023-04-05,1167.00
2023-04-06,1168.00
2023-04-07,1169.00
2023-04-08,1170.00
2023-04-09,1171.00
2023-04-10,1172.00
2023-04-11,1173.00
2023-04-12,1174.00
2023-04-13,1175.00
2023-04-14,1176.00
2023-04-15,1177.00
2023-04-16,1178.00
2023-04-17,1179.00
2023-04-18,1180.00
2023-04-19,1181.00
2023-04-20,1182.00
2023-04-21,1183.00
2023-04-22,1184.00
2023-04-23,1185.00
2023-04-24,1186.00
2023-04-25,1187.00
2023-04-26,1188.00
2023-04-27,1189.00
2023-04-28,171.79
2023-04-29,201.16
2023-04-30,217.61
2023-05-01,221.31
2023-05-02,258.71
2023-05-03,256.79
2023-05-04,255.9
2023-05-05,260.54
2023-05-06,274.45
2023-05-07,249.83
2023-05-08,258.71
2023-05-09,256.79
2023-05-10,255.9
2023-05-11,260.54
2023-05-12,274.45
2023-05-15,259.46
2023-05-16,264.61
2023-05-17,256.6
2023-05-18,241.05
2023-05-19,244.4
2023-05-22,234.86
2023-05-23,224.57
2023-05-24,213.97
2023-05-25,207.52
2023-05-26,203.93
2023-05-29,201.16
2023-05-30,193.17
2023-05-31,184.47
2023-06-01,182.9
2023-06-02,221.31
2023-06-05,217.61
2023-06-06,213.97
2023-06-07,176.89
2023-06-08,173.86
2023-06-09,166.52
2023-06-12,166.35
2023-06-13,167.98
2023-06-14,172.08
2023-06-15,168.54
2023-06-16,169.15
2023-06-19,171.79
2023-06-20,171.79
2023-06-21,171.79
2023-06-22,171.79
2023-06-23,171.79
2023-06-26,171.79
